"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","Uniprot"
"ENSG00000168398",6175.18161180621,-1.96438959972513,0.314350419221537,-6.2490439955187,4.12972588664149e-10,2.55284483890552e-08,"BDKRB2","P30411"
"ENSG00000079691",1515.59822697316,1.17011830426066,0.187588861423209,6.23767474989266,4.44122856861927e-10,2.73424417364792e-08,"CARMIL1","Q5VZK9"
"ENSG00000113916",1870.61940927366,0.842854816000581,0.13536940085222,6.22633187924581,4.77482072717716e-10,2.92771902482178e-08,"BCL6","P41182"
"ENSG00000196616",44782.2595556311,1.0797240865385,0.173558499886314,6.22109598346238,4.9369401229165e-10,3.01491766780526e-08,"ADH1B","P00325"
"ENSG00000131446",5557.41023556291,0.852623398039166,0.137160813970431,6.21623168715646,5.09235976547076e-10,3.08946407546958e-08,"MGAT1","P26572"
"ENSG00000279232",395.504277481888,-0.939639325813806,0.151164574018434,-6.21600220762848,5.09980864224097e-10,3.08946407546958e-08,NA,NA
"ENSG00000175130",628.109358917708,-1.11041788482238,0.178851069969401,-6.20861751071638,5.34527452726481e-10,3.21246756807244e-08,"MARCKSL1","P49006"
"ENSG00000175482",693.786100877775,0.880371094310949,0.141787053521477,6.20910776016372,5.32862750430474e-10,3.21246756807244e-08,"POLD4","Q9HCU8"
"ENSG00000091136",31518.6136485942,0.833875309539326,0.134466089042993,6.2013799573862,5.59702036394651e-10,3.35046930482094e-08,"LAMB1","P07942"
"ENSG00000143507",326.268589069196,-1.2817813035244,0.206808035661722,-6.19792794522269,5.72113193200842e-10,3.41128122481368e-08,"DUSP10","Q9Y6W6"
"ENSG00000146122",2629.50779450155,1.64277459337548,0.265255041006324,6.1931889669019,5.89589721558172e-10,3.50170052274451e-08,"DAAM2","Q86T65"
"ENSG00000182010",120.220013189824,-1.7541121985484,0.283406451714159,-6.18938696680619,6.03986448632826e-10,3.57319326740006e-08,"RTKN2","Q8IZC4"
"ENSG00000168309",170.406386626521,4.05903437519857,0.657540012881791,6.1730606437304,6.69805052460894e-10,3.94715856790671e-08,"FAM107A","O95990"
"ENSG00000173068",2841.63743058306,-0.965115248615128,0.156465566803908,-6.16822773425076,6.90596347201225e-10,4.05390762727231e-08,"BNC2","Q5H9S4"
"ENSG00000168890",502.587897399503,0.924374907521492,0.150123368712064,6.15743515118183,7.39325009485029e-10,4.32319585662192e-08,"TMEM150A","Q86TG1"
"ENSG00000033867",2356.63321774993,-1.02187297629996,0.166025589051765,-6.15491251762009,7.5118949524894e-10,4.37567880982508e-08,"SLC4A7","Q9Y6M7"
"ENSG00000182718",25337.5736806926,0.674664296129992,0.109763987495479,6.14649951704586,7.92115637825862e-10,4.5963951474608e-08,"ANXA2","A0A024R5Z7"
"ENSG00000128165",61.3918707096325,-2.69948114348446,0.439431037312281,-6.14312807760566,8.0911988894006e-10,4.67714531221268e-08,"ADM2","Q7Z4H4"
"ENSG00000100784",180.190558477259,-1.81604022331727,0.295690874787433,-6.14168504395946,8.16506330429586e-10,4.70189672028748e-08,"RPS6KA5","O75582"
"ENSG00000183726",2553.96258891928,0.711532339804664,0.115922463937235,6.13800220973492,8.35657005520289e-10,4.79394899568363e-08,"TMEM50A","O95807"
"ENSG00000119508",218.387702989375,2.08258616704435,0.33956082253852,6.13317564575079,8.61419484570658e-10,4.90458574955737e-08,"NR4A3","A0A024R168"
"ENSG00000124496",484.060538524035,-0.780524539775781,0.127262592842391,-6.13318118343247,8.61389487141161e-10,4.90458574955737e-08,"TRERF1","Q05GC8"
"ENSG00000119714",61.5481477647446,-3.1021495816754,0.506005987945877,-6.13065784906721,8.75164370745827e-10,4.96418142132792e-08,"GPR68","A1A5B2"
"ENSG00000165272",140.16648772188,-2.94471435892716,0.480629219785286,-6.12679012783008,8.96696235415968e-10,5.06733749454285e-08,"AQP3","Q92482"
"ENSG00000277196",36.1901302568853,7.24681187773038,1.18430370670567,6.11904854869411,9.41357237422739e-10,5.29994623076854e-08,"LOC102724788",NA
"ENSG00000196507",1019.36101014415,1.07880281232695,0.176399489030001,6.11567991641669,9.61461380922112e-10,5.39308615335755e-08,"TCEAL3","Q969E4"
"ENSG00000196850",525.408735772489,1.21096693739098,0.198100609648175,6.11288849409222,9.7843740305233e-10,5.46805699971496e-08,"PPTC7","Q8NI37"
"ENSG00000154930",672.611511675864,1.86968010198357,0.306010651126581,6.10985302341706,9.9722935440719e-10,5.5525877104768e-08,"ACSS1","Q9NUB1"
"ENSG00000140105",2847.98843007123,-1.38533065736954,0.227598197729579,-6.08673825710838,1.15234125146951e-09,6.37970223704762e-08,"WARS","A0A024R6K8"
"ENSG00000167641",239.909910350848,2.79861313177944,0.459808164032686,6.08647986419939,1.15420165926117e-09,6.37970223704762e-08,"PPP1R14A","Q96A00"
"ENSG00000064115",1485.99431108556,0.980616973197886,0.1613035171319,6.07932790700417,1.20687331264813e-09,6.64658048002035e-08,"TM7SF3","Q9NS93"
"ENSG00000066322",1037.61690920666,0.4951589526177,0.0815149812253176,6.07445337255269,1.24410777477854e-09,6.82681603225396e-08,"ELOVL1","Q9BW60"
"ENSG00000132622",66.5973767313926,-2.3625313263479,0.389435769553057,-6.06654938004104,1.30687558319688e-09,7.14535404603492e-08,"HSPA12B","B7ZLP2"
"ENSG00000100994",3076.64939375019,0.632510257045547,0.10438260709317,6.05953687745105,1.36514028224352e-09,7.4370681922943e-08,"PYGB","P11216"
"ENSG00000114450",2051.24846273034,0.949064838166137,0.156720717059136,6.05577141283768,1.39746331155734e-09,7.58587163209173e-08,"GNB4","Q9HAV0"
"ENSG00000164104",1072.4290460514,1.25788473562665,0.207746414498744,6.05490467145586,1.40500843581415e-09,7.59959027157334e-08,"HMGB2","P26583"
"ENSG00000198189",1532.36970526682,0.709488228701436,0.117214702844567,6.05289448749661,1.42266056954392e-09,7.66768481343153e-08,"HSD17B11","Q8NBQ5"
"ENSG00000176974",155.450218773783,1.09528115704042,0.181231640011948,6.04354271124075,1.50766440030025e-09,8.09701324203807e-08,"SHMT1","P34896"
"ENSG00000111728",205.085915430282,-1.38394618753592,0.22906400733494,-6.04174441736847,1.52456834507983e-09,8.15886487146079e-08,"ST8SIA1","Q92185"
"ENSG00000013297",3473.51661188046,-1.64957267764681,0.273205865777396,-6.03783770510571,1.56193038380403e-09,8.32937875447604e-08,"CLDN11","O75508"
"ENSG00000260914",558.748084912865,0.570317831996909,0.0945546993156922,6.0316180594343,1.62326069562492e-09,8.62606429306644e-08,NA,NA
"ENSG00000137266",215.367386980664,-1.28522773370824,0.21321510999596,-6.02784546429472,1.66159809951731e-09,8.79891720880756e-08,"SLC22A23","A1A5C7"
"ENSG00000116962",9623.1457893985,1.57086378980361,0.26070617686151,6.02541837985704,1.68672722895426e-09,8.90086546428998e-08,"NID1","P14543"
"ENSG00000161813",1039.36615840631,0.803120717733613,0.13351283794889,6.01530706763238,1.79546027684205e-09,9.44175204610169e-08,"LARP4","Q6P4E2"
"ENSG00000008311",714.926322098101,1.13782471895757,0.189234810708827,6.01276643919564,1.82383720350842e-09,9.55779046613668e-08,"AASS","A4D0W4"
"ENSG00000213639",4844.05933497674,0.939670326378528,0.157629841402868,5.96124641131202,2.50321155521931e-09,1.30728065530332e-07,"PPP1CB","P62140"
"ENSG00000117143",1603.24068885167,0.641093766952033,0.107564248013393,5.96010085871849,2.52082299037434e-09,1.31195409584946e-07,"UAP1","A0A140VKC0"
"ENSG00000100626",539.065338456334,-0.889750789908325,0.149527911473763,-5.95039936784276,2.67488994143413e-09,1.38737014256918e-07,"GALNT16","Q68VJ8"
"ENSG00000160408",3832.73903714315,0.447618297754845,0.0753698322450457,5.93895839252406,2.86838645705058e-09,1.48265231713417e-07,"ST6GALNAC6","Q969X2"
"ENSG00000116711",112.05087665294,-2.48459207332203,0.419264417821366,-5.92607425698746,3.10262330298731e-09,1.59827312665792e-07,"PLA2G4A","B4DZI4"
"ENSG00000164442",7569.27463761189,1.57480006758226,0.265911364848159,5.92227439576156,3.17519237450894e-09,1.63011147498095e-07,"CITED2","D9ZGF1"
"ENSG00000123358",252.880673492217,1.38952507975173,0.234847924044166,5.91670156509627,3.2846188296147e-09,1.68059297886874e-07,"NR4A1","P22736"
"ENSG00000158716",159.827819084471,1.30993227832678,0.221622985249746,5.91063366848264,3.40794174987706e-09,1.73782080141037e-07,"DUSP23","A0A140VJI5"
"ENSG00000115419",4336.31336479654,1.05135416952317,0.178057793968094,5.90456697285355,3.53574216307416e-09,1.79093026955713e-07,"GLS","O94925"
"ENSG00000165507",18622.9253736255,1.63234340332095,0.276442577537074,5.90481906898744,3.53033983514972e-09,1.79093026955713e-07,"DEPP1","Q9NTK1"
"ENSG00000147526",8590.20817555019,0.861204164535673,0.145944014764184,5.90092143159967,3.61477026521591e-09,1.82485652222317e-07,"TACC1","O75410"
"ENSG00000067445",662.744651431154,-0.818231344719717,0.138785143920963,-5.89566953351787,3.73165146920438e-09,1.87138614242054e-07,"TRO","Q12816"
"ENSG00000144827",336.486695104845,-0.719111969525847,0.121962068431975,-5.89619361799309,3.71982467204725e-09,1.87138614242054e-07,"ABHD10","Q9NUJ1"
"ENSG00000198369",897.541323884179,0.6223538916926,0.105899488269367,5.876835685075,4.18182923690941e-09,2.09022454762353e-07,"SPRED2","B3KPL5"
"ENSG00000102984",94.0592876496531,-1.23465249549876,0.21010759547539,-5.87628682678146,4.19571097013812e-09,2.09026456061651e-07,"ZNF821","O75541"
"ENSG00000145675",3405.45079196902,1.44734042061136,0.246336316064669,5.87546507040967,4.21657872281778e-09,2.09377327072378e-07,"PIK3R1","P27986"
"ENSG00000116704",636.969352874686,0.876880205898868,0.149312995088671,5.872765497592,4.28584533602599e-09,2.12121332072267e-07,"SLC35D1","Q9NTN3"
